ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
12-1,24/02/2023 7:16:12,https://twitter.com/hundongis/status/1415319332175769606?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@hundongis,ILeniYSB - Stripped ◎,,Anonymous,08/2017,334,180,"Puerto Princesa City, Palawan",GAGO GAWA GAWA LANG TALAGA NG PHILHEALTH BRANCH SA CHINA ANG COVID!!!!! Hindi totoo ang COVID!!!!,THE PHILHEALTH BRANCH IN CHINA IS REALLY DOING COVID!!!!! COVID is not real!!!!,Text,14/07/2021 22:36:00,,Emotional,1,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-2,24/02/2023 7:16:12,https://twitter.com/itz_fritzzz/status/1256206739273248770?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@itz_fritzzz,pretzel,"coffee hoe ☕

ariana grande butera's angel 👼",Anonymous,03/2020,1610,1103,ǝʌɐ uooɯʎǝuoɥ,sa lahat ng gawa ng china COVID lang ang legit at original hay nako,"Of all the products made by China, only COVID is legit and original",Text,1/5/2020 21:00:00,,Emotional,1,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location,,
12-3,24/02/2023 7:16:12,https://twitter.com/oscarccordero2/status/1290537954146828294?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@OscarCCordero2,Oscar C. Cordero (0942-304-2132),"Badminton Instructor

The Zone Badminton Center",Identified,07/2018,15,1,Lungsod ng Malabon,Ingat Lang palagi mga frontliners mahirap talaga sitwasyon ng buong Mundo lahat Ng bansa apektado Ng Covid ito Ang tinatawag na silent war gawa Ng China,"Always be careful, frontliners, the situation of the whole world is really difficult, all the countries are affected by Covid, this is the so-called silent war made by China","Text, Reply",4/8/2020 14:39:00,,Emotional,1,1,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-4,24/02/2023 7:16:12,https://twitter.com/crbllomrk/status/1276742409343229952?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@crbllomrk,Mark,✞,Identified,09/2014,31,76,,Sobrang laking perwisyo ang ginawa ng Covid 19. Sana naman matuto na ang mga dugyot na chinese na wag kumain ng kung ano ano.,Covid 19 has done a lot of perversion. I hope the greedy Chinese will learn not to eat anything.,Text,27/06/2020 13:01:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-5,24/02/2023 7:16:12,https://twitter.com/queenie_sanah/status/1238769790690394112?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@Queenie_sanah,"Sanah ♥️💚💙
",,Anonymous,05/2018,1374,1452,Republic of the Philippines,"Nkakainis tlha tong mga Chinese nato kundi ba nmn nila ginawa ung COVID-19 peaceful Sana buti Kung sila lng tamaan.. BUWESHIT! Maraming na putol hanapbuhay ndhil dyan 😈
#MAYMAYxMEGANShopeeSale
MAYMAYxBG GraduationSale","Our Chinese people are annoying, but did they make the COVID-19 peaceful I hope it's good If only they get hit.. BUWESHIT! There are many lost jobs there 😈
#MAYMAYxMEGANShopeeSale
MAYMAYxBG Graduation Sale",Text,14/03/2020 18:11:00,,Emotional,0,1,2,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-6,24/02/2023 7:16:12,https://twitter.com/nazbitoon/status/1238222816559763459?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@NazBitoon,Ad Cena,Astrophilia,Anonymous,03/2017,267,288,,"Napakahirap naman oh, walang defense dahil sa COVID sayang nga preps na ginawa. Nagawa kasi ng mga Chinese nanahimik ang mga paniki tang ina kakainin?","It's very difficult, there is no defense because of COVID, what a waste of preps that have been made. Because the Chinese were able to keep the bats quiet?",Text,13/03/2020 5:58:00,,Emotional,6,2,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-7,24/02/2023 7:16:12,https://twitter.com/apolvorosa/status/1511132557579980801?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@APolvorosa,A,,Anonymous,06/2020,65,2,Manila City,Hoy Mr Covid!!!! Tumahimik ka at tumulong muna kayo sa buong mundo dahil sa Ginawa niuong Covid virus!!! Kakabwisit talaga tong mga Chinese na to’ they should be isolate sa buong mundo!!! Tse,Hey Mr. Covid!!!! Shut up and help the whole world first because of what the Covid virus did!!! The Chinese are so stupid that they should be isolated from the whole world!!! Tse,"Text, Reply",05/04/2022 8:04:00,,Emotional,3,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-8,24/02/2023 7:16:12,https://twitter.com/vmipurpleu/status/1239444721363124225?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@VMiPurpleU,🧑‍🚀 석진아사랑해,🐋 —Love Yourself: Answer—__Magic Shop__ enjoy life because Life Goes on. 💜,Anonymous,04/2019,72,27,,"Laking pwersiyo ang ginawa ng mga chinese sa buong mundo... Pati kasi nanahimik na hayop kinakain... 😭
#coronapocolypse
#Covid_19
#COVID2019","The Chinese have done a lot of damage to the whole world... Also because they are silent animals that are eaten... 😭
#coronapocolypse
#Covid_19
#COVID2019",Text,16/03/2020 14:53:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-9,24/02/2023 7:16:12,https://twitter.com/maeglyza2/status/1452232268400013312?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@Maeglyza2,maeglyza_212,w(°ｏ°)w,Anonymous,07/2021,86,1,,Ano pong kamalasan?Hindi Naman si pres Duterte Ang gumawa ng COVID-19 Mga Chinese Hahaha.Tyaka makakatulong Yung ginawa niyang Build Build Build project Niya😒,What's wrong? It wasn't President Duterte who created COVID-19 Chinese people Hahaha. I hope what he did will help his Build Build Build project 😒,"Text, Reply",24/10/2021 19:15:00,,Emotional,0,1,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-10,24/02/2023 7:16:12,https://twitter.com/jr062388/status/1378834647518486529?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@jr062388,J,,Anonymous,06/2013,4693,176,makati city,"TO #CHINA #PHILIPPINES #GOVERNMENT FOR ME KAYA GINAWA NILA YANG COVID-19 PANDEMIC PARA MAGAWA NG MGA CHINESE ANG MGA ILLEGAL TRANSACTIONS NILA SA IBANG SASAKUPIN EX. #WESTPH #JULIANFELIPEREAF #DutertePalakpak #OustDuterteNow #DuterteResign
Translate Tweet",TO #CHINA #PHILIPPINES #GOVERNMENT FOR ME THAT'S WHY THEY MADE THE COVID-19 PANDEMIC SO THE CHINESE CAN DO THEIR ILLEGAL TRANSACTIONS WITH OTHER SUBJECTS EX. #WESTPH #JULIANFELIPEREAF #DutertePalakpak #OustDuterteNow #DuterteResign,Text,05/04/2021 6:19:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
