ID,Timestamp,Tweet Url,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date Posted,Content Type,Likes,Replies,Retweets,Quote Tweets,Reasoning,Remarks
12-Jan,24/02/2023 7:16,https://twitter.com/hundongis/status/1415319332175769606?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@hundongis,ILeniYSB - Stripped ◎,No bio,1,2017-08,334,180,"Puerto Princesa City, Palawan",GAGO GAWA GAWA LANG TALAGA NG PHILHEALTH BRANCH SA CHINA ANG COVID!!!!! Hindi totoo ang COVID!!!!,THE PHILHEALTH BRANCH IN CHINA IS REALLY DOING COVID!!!!! COVID is not real!!!!,Text,14/07/2021 22:36,1,1,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
12-Feb,24/02/2023 7:16,https://twitter.com/itz_fritzzz/status/1256206739273248770?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@itz_fritzzz,pretzel,"coffee hoe ☕

ariana grande butera's angel 👼",1,2020-03,1610,1103,ǝʌɐ uooɯʎǝuoɥ,sa lahat ng gawa ng china COVID lang ang legit at original hay nako,"Of all the products made by China, only COVID is legit and original",Text,05/01/2020 21:00,1,1,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location
12-Mar,24/02/2023 7:16,https://twitter.com/oscarccordero2/status/1290537954146828294?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@oscarccordero2,Oscar C. Cordero (0942-304-2132),"Badminton Instructor

The Zone Badminton Center",0,2018-07,15,1,Lungsod ng Malabon,Ingat Lang palagi mga frontliners mahirap talaga sitwasyon ng buong Mundo lahat Ng bansa apektado Ng Covid ito Ang tinatawag na silent war gawa Ng China,"Always be careful, frontliners, the situation of the whole world is really difficult, all the countries are affected by Covid, this is the so-called silent war made by China","Text, Reply",08/04/2020 14:39,1,1,1,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
12-Apr,24/02/2023 7:16,https://twitter.com/crbllomrk/status/1276742409343229952?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@crbllomrk,Mark,✞,0,2014-09,31,76,No location,Sobrang laking perwisyo ang ginawa ng Covid 19. Sana naman matuto na ang mga dugyot na chinese na wag kumain ng kung ano ano.,Covid 19 has done a lot of perversion. I hope the greedy Chinese will learn not to eat anything.,Text,27/06/2020 13:01,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
12-May,24/02/2023 7:16,https://twitter.com/queenie_sanah/status/1238769790690394112?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@queenie_sanah,"Sanah ♥️💚💙
",No bio,1,2018-05,1374,1452,Republic of the Philippines,"Nkakainis tlha tong mga Chinese nato kundi ba nmn nila ginawa ung COVID-19 peaceful Sana buti Kung sila lng tamaan.. BUWESHIT! Maraming na putol hanapbuhay ndhil dyan 😈
#MAYMAYxMEGANShopeeSale
MAYMAYxBG GraduationSale","Our Chinese people are annoying, but did they make the COVID-19 peaceful I hope it's good If only they get hit.. BUWESHIT! There are many lost jobs there 😈
#MAYMAYxMEGANShopeeSale
MAYMAYxBG Graduation Sale",Text,14/03/2020 18:11,1,0,1,2,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
12-Jun,24/02/2023 7:16,https://twitter.com/nazbitoon/status/1238222816559763459?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@nazbitoon,Ad Cena,Astrophilia,1,2017-03,267,288,No location,"Napakahirap naman oh, walang defense dahil sa COVID sayang nga preps na ginawa. Nagawa kasi ng mga Chinese nanahimik ang mga paniki tang ina kakainin?","It's very difficult, there is no defense because of COVID, what a waste of preps that have been made. Because the Chinese were able to keep the bats quiet?",Text,13/03/2020 5:58,1,6,2,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
12-Aug,24/02/2023 7:16,https://twitter.com/vmipurpleu/status/1239444721363124225?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@vmipurpleu,🧑‍🚀 석진아사랑해,🐋 —Love Yourself: Answer—__Magic Shop__ enjoy life because Life Goes on. 💜,1,2019-04,72,27,No location,"Laking pwersiyo ang ginawa ng mga chinese sa buong mundo... Pati kasi nanahimik na hayop kinakain... 😭
#coronapocolypse
#Covid_19
#COVID2019","The Chinese have done a lot of damage to the whole world... Also because they are silent animals that are eaten... 😭
#coronapocolypse
#Covid_19
#COVID2019",Text,16/03/2020 14:53,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
12-Sep,24/02/2023 7:16,https://twitter.com/maeglyza2/status/1452232268400013312?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@maeglyza2,maeglyza_212,w(°ｏ°)w,1,2021-07,86,1,No location,Ano pong kamalasan?Hindi Naman si pres Duterte Ang gumawa ng COVID-19 Mga Chinese Hahaha.Tyaka makakatulong Yung ginawa niyang Build Build Build project Niya😒,What's wrong? It wasn't President Duterte who created COVID-19 Chinese people Hahaha. I hope what he did will help his Build Build Build project 😒,"Text, Reply",24/10/2021 19:15,1,0,1,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
12-Oct,24/02/2023 7:16,https://twitter.com/jr062388/status/1378834647518486529?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@jr062388,J,No bio,1,2013-06,4693,176,makati city,"TO #CHINA #PHILIPPINES #GOVERNMENT FOR ME KAYA GINAWA NILA YANG COVID-19 PANDEMIC PARA MAGAWA NG MGA CHINESE ANG MGA ILLEGAL TRANSACTIONS NILA SA IBANG SASAKUPIN EX. #WESTPH #JULIANFELIPEREAF #DutertePalakpak #OustDuterteNow #DuterteResign
Translate Tweet",TO #CHINA #PHILIPPINES #GOVERNMENT FOR ME THAT'S WHY THEY MADE THE COVID-19 PANDEMIC SO THE CHINESE CAN DO THEIR ILLEGAL TRANSACTIONS WITH OTHER SUBJECTS EX. #WESTPH #JULIANFELIPEREAF #DutertePalakpak #OustDuterteNow #DuterteResign,Text,04/05/2021 6:19,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
12-Nov,24/02/2023 7:16,https://twitter.com/rads16573622/status/1437297213479133187?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@rads16573622,Rads,Eut,1,2021-06,30,3,No location,You know what while watching the hearing. Na conclude ko ang COVID-19 ay ginawa ng China  para maging negosyo at maging supplier sila ng lahat at may connection sa government kaya look puro Chinese ang mga sangkot. Tapos mali2 pa ang mga sinasabi. Kawawa mga namatay dahil dito.,You know what while watching the hearing. I conclude that COVID-19 was created by China to become a business and they become suppliers to everyone and have a connection with the government so the people involved are all Chinese. Then the words are still wrong. Poor those who died because of this.,"Text, Reply",13/09/2021 14:08,0,1,0,1,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
12-Dec,24/02/2023 7:16,https://twitter.com/seekgoodlife/status/1429215042260537344?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@seekgoodlife,Dog's Tile,"ECE, MPM",1,2011-09,124,204,"Big Spring, TX","sa lahat ng made in china, covid lang ang tumagal!","of all made in china, only covid lasted!","Text, Reply",22/08/2021 6:55,1,3,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
Dec-13,24/02/2023 7:16,https://twitter.com/chrl_blzn29/status/1284489044424921089?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@chrl_blzn29,akositsarli,"people come 'n go.
http://instagram.com/_realtsarli/",1,2020-07,9,306,mamatay ka kakaisip,"Legit, COVID lng yung tumagal na gawa ng China.","Legit, the only thing that lasts is the one made by China.",Text,18/07/2020 22:18,1,11,0,3,1,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location
Dec-14,24/02/2023 7:16,https://twitter.com/aljxn_f/status/1302432448287068161?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@aljxn_f,A yø,"If you're reading this, you're gonna be fine.

IG|: aljx_f",1,2019-07,115,160,No location,Sa lahat ng gawa ng china covid lang yung legit.,"Of all the works of China, only covid is legit.",Text,09/06/2020 10:24,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
